-4.976     4.783   0.080
-4.877     5.008   0.186
-4.761     4.795   0.099
-4.550     4.658   0.019
-4.414     4.663   0.076
-4.389     4.486   0.055
-4.326     4.343   0.040
-4.294     4.344   0.152
-4.253     4.264   0.131
-4.155     4.159   0.021
-4.078     3.900   0.051
-4.027     3.973   0.060
-3.942     3.634   0.145
-3.772     3.495   0.091
-3.696     3.510   0.180
-3.573     3.322   0.156
-3.558     3.116   0.082
-3.549     3.231   0.196
-3.482     3.059   0.088
-3.160     2.675   0.022
-3.141     2.535   0.101
-3.100     2.727   0.116
-3.030     2.774   0.152
-2.815     2.522   0.007
-2.795     2.560   0.101
-2.374     2.600   0.116
-2.224     2.693   0.195
-1.676     2.707   0.046
-1.374     2.919   0.068
-1.029     2.911   0.059
-0.689     3.116   0.039
-0.673     3.072   0.079
-0.362     3.356   0.075
-0.295     3.344   0.072
-0.170     3.535   0.025
-0.102     3.507   0.115
-0.063     3.630   0.086
-0.017     3.635   0.134
 0.240     4.378   0.179
 0.291     4.077   0.111
 0.512     4.364   0.005
 0.814     4.686   0.046
 1.008     4.712   0.127
 1.249     4.589   0.170
 1.778     4.586   0.147
 1.788     4.599   0.001
 1.836     4.587   0.051
 2.487     3.466   0.115
 2.561     3.627   0.160
 2.650     3.274   0.081
 2.691     3.228   0.036
 2.841     3.087   0.191
 2.896     3.079   0.188
 3.236     2.646   0.079
 3.394     2.640   0.170
 3.485     2.467   0.057
 3.633     2.405   0.195
 3.692     2.400   0.141
 3.694     2.596   0.194
 4.339     2.563   0.180
 4.349     2.619   0.076
 4.458     2.582   0.147
 4.506     2.937   0.122
 4.645     2.909   0.158
 4.658     2.639   0.098
 4.725     2.803   0.020
 5.091     2.796   0.090
 5.418     3.076   0.054
 5.453     3.409   0.136
 5.467     3.000   0.191
 5.636     3.422   0.160
 5.801     3.236   0.091
 5.841     3.419   0.187
 6.018     3.130   0.156
 6.201     3.607   0.023
 6.288     3.696   0.175
 6.415     3.939   0.170
 6.423     3.849   0.058
 6.493     3.954   0.021
 6.531     3.834   0.123
 6.589     4.014   0.071
 6.652     4.192   0.070
 6.719     4.279   0.185
 6.837     4.350   0.084
 6.912     4.116   0.178
 7.350     4.894   0.163
 7.820     4.867   0.058
 7.922     4.745   0.006
 7.998     4.646   0.173
 8.054     4.643   0.070
 8.401     3.872   0.171
 8.785     3.532   0.110
 8.807     3.466   0.086
 8.833     3.453   0.014
 9.593     2.526   0.166
 9.609     2.437   0.126
 9.618     2.580   0.003
 9.642     2.561   0.031
 9.644     2.500   0.067
 9.921     2.466   0.073
