 5.140   5.478   4.598
 5.276   6.484   2.740
 5.469   8.728   2.248
 5.474   6.322   2.939
 5.683   7.966   2.055
 5.870   9.990   2.907
 5.919   5.421   3.303
 6.035   8.772   3.495
 6.052   8.107   1.115
 6.120  14.669   2.996
 6.283   8.416   3.171
 6.448   9.703   2.945
 6.630  12.617   1.964
 6.650  16.185   2.046
 6.658  12.153   4.652
 6.732  11.231   0.014
 6.764   8.250   4.462
 6.838   8.271   4.950
 6.880  12.274   3.448
 6.897   8.832   1.907
 6.977  11.777   1.464
 7.033  13.082   0.476
 7.279  12.690   0.557
 7.520  13.945   2.037
 7.544  12.837   4.110
 7.724  14.544   0.253
 7.955  19.794   3.393
 8.012  18.242   1.906
 8.029  15.627   0.222
 8.286  11.277   4.482
 8.303  12.823   3.976
 8.310  17.905   0.721
 8.328  16.887   0.568
 8.377  16.655   3.269
 8.552  16.387   2.120
 8.560  17.255   3.748
 8.578  17.816   1.090
 8.875  20.150   1.711
 8.918  15.874   4.358
 8.926   9.738   4.915
 9.165  14.687   4.816
 9.369  24.280   3.927
 9.397  20.459   1.967
 9.458  24.577   4.204
 9.516  19.984   2.411
 9.751  19.432   4.083
 9.784  26.621   2.664
 9.902  23.369   2.896
10.074  19.061   4.532
10.120  27.209   2.334
10.707  29.094   3.635
10.750  30.103   2.550
10.825  25.451   4.763
10.863  27.585   1.307
10.868  27.926   0.911
11.310  27.372   1.933
11.321  28.880   1.217
11.421  34.813   3.828
11.479  30.755   0.688
11.529  33.772   4.549
11.594  26.022   4.762
11.670  30.591   2.387
11.796  31.244   3.895
12.023  34.946   1.652
12.048  34.017   1.169
12.086  34.273   0.615
12.130  32.964   1.759
12.142  35.883   2.265
12.292  32.859   3.887
12.297  40.624   3.389
12.381  35.832   1.109
12.426  36.104   0.704
12.464  36.483   3.081
12.631  37.217   0.129
12.631  33.029   2.886
12.653  36.957   1.683
12.768  38.706   0.914
12.906  33.794   3.569
12.913  47.594   4.203
12.917  43.135   4.102
12.988  47.672   4.617
13.085  39.968   3.894
13.133  37.902   4.650
13.153  38.984   1.746
13.232  42.512   4.292
13.286  41.211   1.375
13.309  43.401   1.163
13.439  39.663   3.254
13.461  46.246   3.273
13.478  42.248   3.734
13.598  43.327   2.075
13.687  44.234   1.002
13.905  43.645   0.749
14.185  46.668   1.118
14.323  47.176   0.115
14.491  48.010   0.474
14.751  50.060   0.689
14.775  48.959   3.596
14.785  50.077   2.922
14.877  50.927   0.141
